Filename	Start_Time	Caption
Hans Rosling- The best stats you've ever seen - TED Talk.mp4	00:05:57	No caption
Hans Rosling- The best stats you've ever seen - TED Talk.mp4	00:05:58	No caption
Hans Rosling- The best stats you've ever seen - TED Talk.mp4	00:06:14	No caption
Hans Rosling- The best stats you've ever seen - TED Talk.mp4	00:06:22	No caption
Hans Rosling- The best stats you've ever seen - TED Talk.mp4	00:06:35	No caption
Hans Rosling- The best stats you've ever seen - TED Talk.mp4	00:06:38	No caption
Hans Rosling- The best stats you've ever seen - TED Talk.mp4	00:06:43	No caption
Hans Rosling- The best stats you've ever seen - TED Talk.mp4	00:07:02	No caption
Hans Rosling- The best stats you've ever seen - TED Talk.mp4	00:07:04	No caption
Hans Rosling- The best stats you've ever seen - TED Talk.mp4	00:07:29	No caption
Hans Rosling- The best stats you've ever seen - TED Talk.mp4	00:07:40	No caption
Hans Rosling- The best stats you've ever seen - TED Talk.mp4	00:07:46	No caption
Hans Rosling- The best stats you've ever seen - TED Talk.mp4	00:08:09	No caption
Hans Rosling- The best stats you've ever seen - TED Talk.mp4	00:08:10	No caption
Hans Rosling- The best stats you've ever seen - TED Talk.mp4	00:08:12	No caption
Hans Rosling- The best stats you've ever seen - TED Talk.mp4	00:08:18	No caption
Hans Rosling- The best stats you've ever seen - TED Talk.mp4	00:08:26	No caption
Hans Rosling- The best stats you've ever seen - TED Talk.mp4	00:08:52	No caption
Hans Rosling- The best stats you've ever seen - TED Talk.mp4	00:08:59	No caption
Hans Rosling- The best stats you've ever seen - TED Talk.mp4	00:09:17	No caption
Hans Rosling- The best stats you've ever seen - TED Talk.mp4	00:09:35	No caption
Hans Rosling- The best stats you've ever seen - TED Talk.mp4	00:09:39	No caption
Hans Rosling- The best stats you've ever seen - TED Talk.mp4	00:09:41	No caption
Hans Rosling- The best stats you've ever seen - TED Talk.mp4	00:09:42	No caption
Hans Rosling- The best stats you've ever seen - TED Talk.mp4	00:09:46	No caption
Hans Rosling- The best stats you've ever seen - TED Talk.mp4	00:09:48	No caption
Hans Rosling- The best stats you've ever seen - TED Talk.mp4	00:09:55	No caption
Hans Rosling- The best stats you've ever seen - TED Talk.mp4	00:10:06	No caption
Hans Rosling- The best stats you've ever seen - TED Talk.mp4	00:10:14	No caption
Hans Rosling- The best stats you've ever seen - TED Talk.mp4	00:10:34	No caption
Hans Rosling- The best stats you've ever seen - TED Talk.mp4	00:10:41	No caption
Hans Rosling- The best stats you've ever seen - TED Talk.mp4	00:11:15	No caption
Hans Rosling- The best stats you've ever seen - TED Talk.mp4	00:11:23	No caption
Hans Rosling- The best stats you've ever seen - TED Talk.mp4	00:11:41	No caption
Hans Rosling- The best stats you've ever seen - TED Talk.mp4	00:11:55	No caption
Hans Rosling- The best stats you've ever seen - TED Talk.mp4	00:11:59	No caption
Hans Rosling- The best stats you've ever seen - TED Talk.mp4	00:12:03	No caption
Hans Rosling- The best stats you've ever seen - TED Talk.mp4	00:12:26	No caption
Hans Rosling- The best stats you've ever seen - TED Talk.mp4	00:12:29	No caption
Hans Rosling- The best stats you've ever seen - TED Talk.mp4	00:13:28	No caption
Hans Rosling- The best stats you've ever seen - TED Talk.mp4	00:13:38	No caption
Hans Rosling- The best stats you've ever seen - TED Talk.mp4	00:13:48	No caption
Hans Rosling- The best stats you've ever seen - TED Talk.mp4	00:14:20	No caption
Hans Rosling- The best stats you've ever seen - TED Talk.mp4	00:14:28	No caption
30Min.mp4	00:00:00	No caption
30Min.mp4	00:00:01	No caption
30Min.mp4	00:00:02	No caption
30Min.mp4	00:00:03	No caption
30Min.mp4	00:00:09	No caption
30Min.mp4	00:00:13	No caption
30Min.mp4	00:00:14	No caption
30Min.mp4	00:00:15	No caption
30Min.mp4	00:00:17	No caption
30Min.mp4	00:00:19	No caption
30Min.mp4	00:00:20	No caption
30Min.mp4	00:00:22	No caption
30Min.mp4	00:00:24	No caption
30Min.mp4	00:00:27	No caption
30Min.mp4	00:00:28	No caption
30Min.mp4	00:00:34	No caption
30Min.mp4	00:00:36	No caption
30Min.mp4	00:00:38	No caption
30Min.mp4	00:00:40	No caption
30Min.mp4	00:00:41	No caption
30Min.mp4	00:00:45	No caption
30Min.mp4	00:00:47	No caption
30Min.mp4	00:00:49	No caption
30Min.mp4	00:00:53	No caption
30Min.mp4	00:00:55	No caption
Hans Rosling- The best stats you've ever seen - TED Talk.mp4	00:14:39	No caption
Hans Rosling- The best stats you've ever seen - TED Talk.mp4	00:14:44	No caption
Hans Rosling- The best stats you've ever seen - TED Talk.mp4	00:14:54	No caption
Hans Rosling- The best stats you've ever seen - TED Talk.mp4	00:14:56	No caption
Hans Rosling- The best stats you've ever seen - TED Talk.mp4	00:15:27	No caption
Hans Rosling- The best stats you've ever seen - TED Talk.mp4	00:15:33	No caption
Hans Rosling- The best stats you've ever seen - TED Talk.mp4	00:15:37	No caption
Hans Rosling- The best stats you've ever seen - TED Talk.mp4	00:15:50	No caption
Hans Rosling- The best stats you've ever seen - TED Talk.mp4	00:15:54	No caption
Hans Rosling- The best stats you've ever seen - TED Talk.mp4	00:15:57	No caption
